cycle,category,median,lo,hi,N
NDC1,East Asia & Pacific,4.665821765676144,4.612757208521686,9.336390509198644,19
NDC1,Europe,3.1509322291756554,3.1509322291756554,3.5053328197122164,35
NDC1,Central Asia,12.581822635560794,0.989555134245883,13.24760196270245,4
NDC1,Latin America & Caribbean,5.7774423091991185,-2.376846170583886,6.226444212626376,21
NDC1,Middle East,6.297577590328554,-2.1472423437910675,7.082255838327134,9
NDC1,North Africa,11.782491900318538,4.622739324834957,14.384799285457264,3
NDC1,North America,8.587062490887764,8.587062490887764,8.587062490887764,2
NDC1,South Asia,-2.331341093095884,-6.826094032702766,5.7388004148795,5
NDC1,Sub-Saharan Africa,5.275199513806429,0.11176123012257658,10.102408716337386,37
NDC2,East Asia & Pacific,11.716760682007848,11.23029760237639,13.929471934076012,19
NDC2,Europe,7.681671917566359,7.681671917566359,7.681671917566359,34
NDC2,Central Asia,12.989023127553523,-1.1678930609029954,12.989023127553523,5
NDC2,Latin America & Caribbean,8.628815869349408,6.713633700655832,8.780432788474053,23
NDC2,Middle East,6.127759821139181,3.613997811522448,9.079951801367823,10
NDC2,North Africa,1.5771932250752303,-0.3209465911140787,10.896119305907117,3
NDC2,North America,15.736840710723976,15.736840710723976,15.736840710723976,2
NDC2,South Asia,4.725019870517857,4.725019870517857,12.632497528673909,6
NDC2,Sub-Saharan Africa,9.047127353900711,3.4561848048516066,10.260124768045783,42
